AMC Van Ness 14,22 Jump Street,17:20, 19:00, 19:55, 21:40, 22:30,
AMC Van Ness 14,How to Train Your Dragon 2, 16:45, 19:30,,,,
AMC Van Ness 14,The Fault in Our Stars,16:45, 19:40, 22:40,,,
AMC Van Ness 14,Maleficent,19:50, 22:45,,,,
AMC Van Ness 14,Godzilla, 22:40,,,,,
AMC Van Ness 14,Chef,17:00, 19:45, 22:15,,,
Century San Francisco Center 9 and XD,Jersey Boys,17:25, 19:00, 20:40, 10:10,,
Century San Francisco Center 9 and XD,Think Like A Man,17:45, 19:15, 20:30, 22:00, 23:10,
Century San Francisco Center 9 and XD,22 Jump Street,19:45, 20:10, 21:40, 22:20, 22:55,
Century San Francisco Center 9 and XD,The Fault in Our Stars, 16:35, 19:35, 22:40,,,,
Century San Francisco Center 9 and XD,X-Men: Days of Future Past, 19:55,,,,,
AMC Metron 16,How to Train Your Dragon 2, 17:45, 19:00, 20:30, 21:00, 23:00,
AMC Metron 16,Edge of Tomorrow, 17:15, 20:15, 23:00,,,
AMC Metron 16,Maleficent, 15:20, 16:00, 18:40, 20:30, 21:30,
AMC Metron 16,Chef, 16:40, 19:15, 21:50,,,
AMC Metron 16,The Amazing Spiderman 2, 18:25, 22:00,,,,
AMC Metron 16, The Rover, 19:10, 1:55,,,,
Cinearts @ Empire,Jersey Boys, 16:55, 19:55,,,,
Cinearts @ Empire,How to Train Your Dragon 2, 18:30,,,,,
Cinearts @ Empire,Maleficent, 16:45, 18:40, 21:05,,,
AMC Bay Street 16,Jersey Boys, 18:15, 21:25,,,,
AMC Bay Street 16,Think Like A Man, 17:20, 19:00, 20:00, 21:45, 22:15, 22:45
AMC Bay Street 16,22 Jump Street, 16:45, 18:40, 19:30, 22:20,,
AMC Bay Street 16,How to Train Your Dragon 2, 17:00, 18:00, 19:40, 20:45, 22:25 ,
AMC Bay Street 16,Edge of Tomorrow, 20:00,,,,,
AMC Bay Street 16,The Fault in Our Stars, 19:10, 22:10,,,,
AMC Bay Street 16,Maleficent, 19:00, 19:45, 22:35 ,,,
AMC Bay Street 16,Godzilla, 19:15,,,,,
AMC Bay Street 16,Chef, 19:55, 22:40 ,,,,